district,city,distance,area,rating,price,facilities
Binh Thanh,Da Nang,3700,56,98,1890000,"Apartments,Kitchen,City-view,Garden,Swimming-pool,Washing-machine,Free-WiFi,Terrace,Balcony,Air-conditioning"
District 4,Ha Noi,900,38,85,1329050,"Kitchen,City-view,Garden,Swimming-pool,BBQ-facilities,Washing-machine,Free-WiFi,Terrace,Balcony,Air-conditioning"
Binh Thanh,Ho Chi Minh City,3800,55,85,1395000,"Kitchen,City-view,Garden,Pet-friendly,Swimming-pool,Washing-machine,Free-WiFi,Terrace,Balcony,Bathtub"
District 7,Ho Chi Minh City,4600,35,93,1008423,
District 1,Ho Chi Minh City,400,35,84,1120426,
District 1,Ho Chi Minh City,200,25,78,1044000,
,Ho Chi Minh City,9600,35,7,228000,"Entire-apartment,Kitchen,View,Pet-friendly,Free-WiFi,Balcony,Air-conditioning,Private-Bathroom"
Tan Binh,Ho Chi Minh City,5800,36,83,1460640,"View,Garden,Swimming-pool,Free-WiFi,Free-parking,Air-conditioning,Private-Bathroom,24-hour-front-desk,Key-card-access,Daily-housekeeping"
District 1,Ho Chi Minh City,900,35,82,1261388,
,Ho Chi Minh City,5200,36,7,720000,"Entire-apartment,Size,Kitchen,View,Garden,Swimming-pool,Washing-machine,Free-WiFi,Terrace,Balcony"
District 1,Ho Chi Minh City,900,40,91,864000,"Kitchen,City-view,Garden,Washing-machine,Free-WiFi,Balcony,Air-conditioning,Private-Bathroom,Key-card-access,Non-smoking-rooms"
District 1,Ho Chi Minh City,350,35,82,1680520,
District 7,Ho Chi Minh City,5200,35,91,884360,
Tan Binh,Ho Chi Minh City,6900,35,75,537219,"Swimming-pool,Free-WiFi,Free-parking,Private-Bathroom,24-hour-front-desk,Daily-housekeeping,Non-smoking-rooms,Elevator,Parking-on-site"
District 3,Ho Chi Minh City,2400,35,84,791443,
District 1,Ho Chi Minh City,400,35,89,2002000,
District 3,Ho Chi Minh City,1400,25,89,1293760,"Apartments,Kitchen,City-view,Garden,Swimming-pool,Free-WiFi,Free-parking,Bathtub,Air-conditioning,24-hour-front-desk"
